unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
a b i l i n i	a b e l e n e	a b y l e n e	a b y l e n e	a b y l e n e	a b e l	a b y l e n e	a b y l e n e
e b e l i		a b e l	e b e l	a b e l	a b e l	a b e l	a b e l
f i l i p i	p h i l i p	p h i l e p e	p h i l e p e	p h i l e p e	p h i l a p	p h i l e p e	p h i l e p e
s i r i y a	s r i a	s r i a	s r i a	s r i a	z i r i a h	s r i a	s r i a
e m o s i		a m u s	a m o s	a m u s	a m e m u s	a m u s	a m u s
m a t a t h a	m a t t a t h a	m a t a t h a	m a t a t h a	m a t a t h a	m a t t a t h	m a t a t h a	m a t a t h a
s a m a s o NG		s a m a s o n	s a m a s o n	s a m a s o n	s a m a n	s a m a s o n	s a m a s o n
a l i f i y o s i		a l p h i u s	a l p h i u s	a l p h i u s	a l i p h i o s	a l p h i u s	a l p h i u s
m a s i d o n i y a	m a s i d o n i a	m a s d o n i a	m a s d o n i a	m a s d o n i a	m a s i o n	m a s d o n i a	m a s d o n i a
m a t h a n i	m a t h a n	m a t h a n e	m a t h a n e	m a t h a n e	m a t h a n	m a t h a n e	m a t h a n e
k e b i r e l i		c a b e r e l	g e b e r e l	c a b e r e l	g a b i e l	c a b e r e l	c a b e r e l
t h a d u b a	t h a d u b	t h a d u b a	t h a d u b a	t h a d u b a	t h a d d e b	t h a d u b a	t h a d u b a
k o k i		g o g	g o g	g o g	g o c o c	g o g	g o g
d o k a s i		d u c a s	d o c a s	d u c a s	d o o s	d u c a s	d u c a s
i n o s i		e n o s	e n o s	e n o s	e n o s	e n o s	e n o s
s i t i f e NG		s t e p h e n	s t i p h e n	s t e p h e n	s y t h e n a	s t e p h e n	s t e p h e n
f i l i m o NG		p h i l e m o n	p h i l i m o n	p h i l e m o n	p h i l m o n	p h i l e m o n	p h i l e m o n
t i m o t h i	t i m o t h	t i m o t h	t m o t h i	t i m o t h	t i m o t h	t i m o t h	t i m o t h
b e t h e s e d a		b e t h e s a d a	b e t h s e d a	b e t h e s a d a	b e t h e d a	b e t h e s a d a	b e t h e s a d a
m a i k e l i		m a i c e l	m a i c e l	m a i c e l	m i c h e l	m a i c e l	m a i c e l
f i l i s i	p h i l i s	p h i l i s	p h i l i s	p h i l i s	p h e l e s	p h i l i s	p h i l i s
i f i r e m i	p h r a m	e p h r a m	i p h i r e m i	e p h r a m	i p h i a m	e p h r a m	e p h r a m
y e s i		j e s	j e s	j e s	j e s e s	j e s	j e s
p u t i y o l i	p u t i o l	p u t i o l	p u t i u l i	p u t i o l	p u t i o l	p u t i o l	p u t i o l
n a i d o s i		n i d u s	n i d o s	n i d u s	n a i d u s	n i d u s	n i d u s
n e n i	n a n	n a i n	n a i n	n a i n	n a n e n	n a i n	n a i n
i l a i y u d i	e l i u d	e l i u d e	e l i j u d i	e l i u d e	e l i u d	e l i u d	e l i u d e
k i r i n i y o s i		c r i n i u s	c r i n i u s	c r i n i u s	c i r e u s	c r i n i u s	c r i n i u s
y o n i		j o n	j o n e	j o n	j o n e n	j o n	j o n
k a l e t i y a	g a l a t i a	g a l a t i a	g a l e t i a	g a l a t i a	g a l i a	g a l a t i a	g a l a t i a
n e e m a NG		n a a m a n	n e e m a n	n a a m a n	n a a m	n a a m a n	n a a m a n
k o r a	c o r a	c o r a	c o r a	c o r a	g o r a h	c o r a	c o r a
a k e y a	a g a	a c h a i	a g e j a	a c h a i	a g g i a	a c h a i	a c h a i
f i l i p a i	p h i l i p a	p h i l i p a i	p h i l i p i	p h i l i p a i	p h i l a p h i a	p h i l i p a i	p h i l i p a i
